Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-12-28,190.91,190.98,189.64,189.78,3175631.0,0.0,1.0,176.4507409266754,176.51543922359468,175.276928968282,175.40632556212066,3175631.0
2017-12-27,190.6,191.49,190.01,190.19,5912613.0,0.0,1.0,176.16421989746124,176.9868125297212,175.61890568056984,175.78527272979096,5912613.0
2017-12-26,188.53,190.42,188.34,190.36,2969182.0,0.0,1.0,174.2509988314185,175.99785284824014,174.0753891683518,175.94239716516645,2969182.0
2017-12-22,188.2,188.46,187.27,188.13,3256519.0,0.0,1.0,173.94599257451316,174.1863005344992,173.08642948687077,173.88129427759384,3256519.0
2017-12-21,187.7,188.84,187.44,188.08,5859058.0,0.0,1.0,173.4838618822323,174.53751986063264,173.24355392224626,173.83508120836578,5859058.0
2017-12-20,187.14,187.9024,186.035,187.31,5383672.0,0.0,1.0,172.96627550687774,173.6709323864676,171.94496667693707,173.12339994225323,5383672.0
2017-12-19,185.235,186.72,184.6,185.98,4496706.0,0.0,1.0,171.20555756928772,172.57808572536183,170.61865159009102,171.89413230078617,4496706.0
2017-12-18,183.96,185.47,183.5,184.73,5011827.0,0.0,1.0,170.02712430397153,171.4227589946597,169.60196406707314,170.73880557008403,5011827.0
2017-12-15,183.005,183.21,182.13,182.58,8201699.0,0.0,1.0,169.1444546817151,169.33392826555024,168.3357259702236,168.75164359327638,8201699.0
2017-12-14,183.88,184.0,182.06,182.13,3542677.0,0.0,1.0,169.9531833932066,170.064094759354,168.27102767330427,168.3357259702236,3542677.0
2017-12-13,182.01,183.67,182.0,183.03,5176749.0,0.0,1.0,168.2248146040762,169.7590885024486,168.2155719902306,169.16756121632915,5176749.0
2017-12-12,182.75,183.21,181.66,181.8,5274935.0,0.0,1.0,168.90876802865185,169.33392826555024,167.9013231194796,168.03071971331823,5274935.0
2017-12-11,182.9,182.96,181.1201,182.25,6038891.0,0.0,1.0,169.0474072363361,169.10286291940983,167.40231439795474,168.446637336371,6038891.0
2017-12-08,182.5,183.9,182.16,183.41,5091538.0,0.0,1.0,168.67770268251144,169.97166862089782,168.36345381176045,169.5187805424626,5091538.0
2017-12-07,180.05,182.58,179.77,182.0,5484611.0,0.0,1.0,166.41326229033527,168.75164359327638,166.15446910265797,168.2155719902306,5484611.0
2017-12-06,180.25,182.15,178.68,180.8,6891093.0,0.0,1.0,166.5981145672476,168.35421119791485,165.14702419348572,167.10645832875653,6891093.0
2017-12-05,184.79,184.91,182.2589,182.85,6347228.0,0.0,1.0,170.79426125315774,170.90517261930515,168.4548632626936,169.00119416710803,6347228.0
2017-12-04,183.19,186.31,183.19,184.9,6192507.0,0.0,1.0,169.315443037859,172.19913855769153,169.315443037859,170.89593000545952,6192507.0
2017-12-01,180.32,180.6,176.7,180.42,4682482.0,0.0,1.0,166.6628128641669,166.92160605184418,163.31698665205352,166.75523900262309,4682482.0
2017-11-30,178.07,180.67,177.41,179.82,9179321.0,0.0,1.0,164.58322474890306,166.9863043487635,163.97321223509235,166.20068217188606,9179321.0
2017-11-29,176.57,178.43,175.68,177.25,4901810.0,0.89,1.0,163.1968326720605,164.91595884734528,162.3742400398006,163.82533041356248,4901810.0
2017-11-28,174.89,176.77,172.9911,176.57,6048963.0,0.0,1.0,160.8364883576285,162.56541853152265,159.0901769176245,162.381489789619,6048963.0
2017-11-27,172.87,174.91,172.38,174.16,4539428.0,0.0,1.0,158.97880806440187,160.85488123181887,158.52818264673797,160.16514844968026,4539428.0
2017-11-24,172.11,173.1,171.7425,172.33,1853587.0,0.0,1.0,158.27987884516807,159.19032611759104,157.94190978192015,158.48220046126207,1853587.0
2017-11-22,172.89,172.94,172.04,172.06,4132897.0,0.0,1.0,158.99720093859221,159.04318312406812,158.2155037855018,158.23389665969216,4132897.0
2017-11-21,170.53,172.86,170.15,172.86,6228970.0,0.0,1.0,156.8268417841294,158.9696116273067,156.4773771745125,158.9696116273067,6228970.0
2017-11-20,168.14,170.69,167.8,170.45,4697484.0,0.0,1.0,154.62889331838102,156.9739847776523,154.31621445714487,156.75327028736794,4697484.0
